resource-type,city,state,name,website,phone,email
Crisis Center,Anniston,Alabama,2nd Chance,http://2ndchanceinc.org/,1-800-650-6522,2ndChance@cableone.net
Crisis Center,Birmingham,Alabama,Rape Response,http://www.crisiscenterbham.com/,1-205-323-7782,"""NA"""
Crisis Center,Cullman,Alabama,Victim's Services of Cullman,http://www.vsoccullman.org,1-256-775-2600,sapcoordinator@vsoccullman.org
Crisis Center,Decatur,Alabama,Mental Health Association,http://www.mhainmc.net,1-256-353-1160,suebrantley@mhainmc.net
Crisis Center,Dothan,Alabama,House of Ruth,http://www.houseofruthdothan.org,1-334-793-5214,webmaster@houseofruthdothan.org
Crisis Center,Florence,Alabama,Rape Response,http://shoalscrisiscenter.org/,1-256-765-0025,info@shoalscrisiscenter.org 
Crisis Center,Huntsville,Alabama,Crisis Services of Northern Alabama,http://www.csna.org,1-800-691-8426,"""NA"""
Crisis Center,Mobile,Alabama,Rape Crisis Center of Mobile,http://www.lifelinesmobile.org,1-251-431-5100,"""NA"""
Crisis Center,Montgomery,Alabama,Stand Together Against Rape,http://www.lighthousehelp.com,1-888-908-7273,info@lighthousehelp.com
Crisis Center,Opelika,Alabama,Rape Counselors of East Alabama,"""NA""",1-334-741-0707,"""NA"""
Crisis Center,Pelham,Alabama,Safehouse of Shelby County,http://www.safehouse.org,1-205-669-1877,safehouse@safehouse.org
Crisis Center,Phenix City,Alabama,Crisis Center of Russell County,http://www.ccpcrc.org,1-334-297-4435,info@cbtbankea.com
Crisis Center,Robertsdale,Alabama,The Lighthouse Rape Crisis Center,http://www.abeacon.org,1-251-947-4393,jsheils@gulftel.com
Crisis Center,Selma,Alabama,"SABRA Sanctuary, INC","""NA""",1-800-650-6522,"""NA"""
Crisis Center,Tuscaloosa,Alabama,Turning Point,http://www.turningpointservices.org,1-205-758-0808,"""NA"" "
Crisis Center,Anchorage,Alaska,Standing Together Against Rape,http://www.staralaska.com,1-800-478-8999,star@staralaska.org
Crisis Center,Barrow,Alaska,Artic Women in Crisis,"""NA""",1-800-478-0267,"""NA"""
Crisis Center,Bethel,Alaska,Tundra Women's Coalition,http://tundrapeace.org/,1-800-478-7799,"""NA"""
Crisis Center,Cordova,Alaska,Cordova Family Resource Center,http://cordovaalaska.org,1-866-790-4357,"""NA"""
Crisis Center,Dillingham,Alaska,Safe and Fear-Free Environment,www.besafeandfree.org,1-800-478-2316,keriea@rainn.org
Crisis Center,Emmonak,Alaska,Emmonak Women's Shelter,"""NA""",1-907-949-1443,"""NA"""
Crisis Center,Fairbanks,Alaska,The Interior Alaska Center for Non-Violent Living,http://www.iacnvl.org/,1-800-478-7273,"""NA"""
Crisis Center,Homer,Alaska,South Peninsula Haven House,http://www.havenhousealaska.org,1-907-235-7712,admin@havenhousealaska.org
Crisis Center,Juneau,Alaska,Aiding Women in Abuse and Rape Emergencies, http://www.awareak.org,1-800-478-1090,"""NA"""
Crisis Center,Kenai,Alaska,Leeshore Center,http://leeshoreak.org,1-907-283-7257,"""NA"""
Crisis Center,Ketchikan,Alaska,Women in Safe Homes,http://wishak.org/,1-800-478-9474,info@wishak.org
Crisis Center,Kodiak,Alaska,Kodiak Women's Resource and Crisis Center,http://www.kwrcc.org,1-907-486-6171,kwrcc@gci.net
Crisis Center,Nome,Alaska,Bering Sea Women's Group,http://www.beringseawomensgroup.org/,1-800-570-5444,"""NA"""
Crisis Center,Palmer,Alaska,Alaska Family Services,http://akafs.org/,1-866-746-4080,teresah@akafs.org
Crisis Center,Seward,Alaska,Seaview Community Services,http://www.seaviewseward.org/dv.shtml,1-907-224-3027,BehavioralHealth@SeaviewSeward.org
Crisis Center,Sitka,Alaska,Sitkans Against Family Violence, http://www.safv.org,1-907-747-6511,info@safv.org
Crisis Center,Unalaska,Alaska,USAFV,"""NA""",1-907-581-1500,"""NA"""
Crisis Center,Valdez,Alaska,Advocates for Victims of Violence,http://avvalaska.org/,1-800-835-4044,avv@avvalaska.org
Crisis Center,Tempe,Arizona,EMPACT-SPC, http://www.empact-spc.com,1-480-736-4953,info@empact-spc.com
Crisis Center,Tuscon,Arizona,Southern Arizona Center Against Sexual Assault,http://www.sacasa.org/,1-800-400-1001,sacasainfo@arizonaschildren.org
Crisis Center,Batesville,Arkansas,Family Violence Prevention,http://www.batesvillerapecrisis.org,1-800-894-8821,"""NA"""
Crisis Center,Clarksville,Arkansas,Ozark Rape Crisis Center,http://ozarkrapecrisis.com,1-800-818-1189,orcc@centurytel.net
Crisis Center,Conway,Arkansas,Sexual Assault Crisis Response of Central Arkansas,http://www.conwaywomensshelter.com,1-866-358-2265,wsca@conwaycorp.net
